person_ID,name,firstName,lastName,middle,email,phone,fax,title
3547,Olsen Robin ,Robin,Olsen,m,OlsenR@univ.edu,963.555.1378,963.777.9262,Assistant Professor
2941,Brian Heath, Pruitt,Heath,Brian,BrianH@univ.edu,963.555.2800,963.777.7249,Associate Curator 
2401,Elvin Haney,Elvin,Claude,Haney,ClaudeE@univ.edu,963.555.2902,963.777.9730,Curator
2070,Mosley Edmund ,Edmund,Mosley,m,MosleyE@univ.edu,963.555.2945,963.777.9285,Assistant Professor
2561,Derek Antoine, Mccoy,Antoine,Derek,DerekA@univ.edu,963.555.2992,963.777.5454,Curator
1625,Hawkins Callie ,Callie,Hawkins,m, HawkinsC@univ.edu,963.555.3350x6480,963.777.4949,Professor
1307,Pate Andrea ,Andrea,Pate,m, PateA@univ.edu,963.555.3723,963.777.5049,Professor
2342,Austin, Liz ,Liz,Austin,AustinL@univ.edu,963.555.4305,963.777.6143,Assistant Professor
2755,Kendrick Reba, Alford,Reba, Kendrick,KendrickR@univ.edu,963.555.4618x7744,963.777.4371,Associate Curator 
4150,Sims, Angelina ,Angelina,Sims,SimsA@univ.edu,963.555.5278,963.777.4400,Professor
3544,Mullins, Kimberly ,Kimberly,Mullins,MullinsK@univ.edu,963.555.5471x1017,963.777.9783,Assistant Professor
2096,Chuck, Lloyd Haney,Lloyd,Chuck,ChuckL@univ.edu,963.555.5568x2652,963.777.9290,Assistant Professor
1089,Payne, Ladonna ,Ladonna,Payne,PayneL@univ.edu,963.555.5639,963.777.6469,Professor
2948,Baxter, Johnathan Browning,Johnathan,Baxter,BaxterJ@univ.edu,963.555.5902,963.777.8336,Research Professor
4539,Weiss, Gilbert ,Gilbert,Weiss,WeissG@univ.edu,963.555.5969,963.777.4975,Professor
